tag,whichCollocation,collFrequency,logDice,whichType,verb,verbType,noun,nounType,isCollocation,k,verbFrequency,nounFrequency,item
255,harness energy,10945,7.6,productive,use,Vprod2,wind,Nsyn2,0,1,70467900,2771189,use wind
256,harness energy,10945,7.6,synonym,saddle,Vsyn1,wind,Nsyn2,-1,1,65792,2771189,saddle wind
257,harness energy,10945,7.6,synonym,yoke,Vsyn2,wind,Nsyn2,-1,1,13034,2771189,yoke wind
258,lock eye,17262,7.5,productive,blink,Vprod2,gaze,Nsyn1,-1,1,236355,313344,blink gaze
259,lock eye,17262,7.5,synonym,fasten,Vsyn1,gaze,Nsyn1,-1,1,155870,313344,fasten gaze
260,lock eye,17262,7.5,synonym,secure,Vsyn2,gaze,Nsyn1,-1,1,2125799,313344,secure gaze
261,lock eye,17262,7.5,synonym,lock,Vcoll,stare,Nsyn2,-1,1,1358759,108745,lock stare
262,unlock mystery,5437,7.9,productive,investigate,Vprod2,mystery,Ncoll,0,1,2295782,1267800,investigate mystery
263,unlock mystery,5437,7.9,productive,open,Vsyn1,car,Nprod2,0,1,8515531,9610218,open car
264,unlock mystery,5437,7.9,productive,unfasten,Vsyn2,car,Nprod2,-1,1,9962,9610218,unfasten car
265,unlock mystery,5437,7.9,synonym,unlock,Vcoll,enigma,Nsyn1,1,1,582098,79533,unlock enigma
266,unleash fury,2337,8.5,productive,untie,Vsyn1,dog,Nprod1,0,1,39600,4331063,untie dog
267,unleash fury,2337,8.5,productive,release,Vsyn2,dog,Nprod1,0,1,6848719,4331063,release dog
268,unleash fury,2337,8.5,productive,unleash,Vcoll,hound,Nprod2,0,1,287546,134668,unleash hound
269,unleash fury,2337,8.5,productive,incite,Vprod1,wrath,Nsyn2,0,1,125122,226479,incite wrath
270,flood airwaves,752,6.5,productive,flood,Vcoll,basement,Nprod1,0,1,465452,513985,flood basement
271,flood airwaves,752,6.5,productive,regulate,Vprod1,signal,Nsyn1,0,1,1023658,4021190,regulate signal
272,flood airwaves,752,6.5,synonym,inundate,Vsyn1,airwaves,Ncoll,1,1,68831,53455,inundate airwaves
273,flood airwaves,752,6.5,synonym,engulf,Vsyn2,airwaves,Ncoll,-1,1,105662,53455,engulf airwaves
274,diffuse tension,1272,6.2,collocation,diffuse,Vcoll,tension,Ncoll,1,1,96169,1069305,diffuse tension
275,diffuse tension,1272,6.2,productive,worsen,Vprod1,tension,Ncoll,0,1,251005,1069305,worsen tension
276,diffuse tension,1272,6.2,productive,ease,Vprod2,confrontation,Nsyn2,0,1,701148,270212,ease confrontation
277,diffuse tension,1272,6.2,synonym,spread,Vsyn1,confrontation,Nsyn2,-1,1,2259922,270212,spread confrontation
278,diffuse tension,1272,6.2,synonym,disperse,Vsyn2,confrontation,Nsyn2,-1,1,280024,270212,disperse confrontation
279,smear reputation,739,5.3,productive,maintain,Vprod2,rank,Nsyn1,0,1,5734320,1090282,maintain rank
280,smear reputation,739,5.3,synonym,streak,Vsyn1,rank,Nsyn1,-1,1,48008,1090282,streak rank
281,smear reputation,739,5.3,synonym,smudge,Vsyn2,rank,Nsyn1,-1,1,26495,1090282,smudge rank
282,smear reputation,739,5.3,synonym,smear,Vcoll,name,Nsyn2,1,1,97703,16103193,smear name
283,forge signature,4665,8,productive,disregard,Vprod2,signature,Ncoll,0,1,190735,1286277,disregard signature
284,forge signature,4665,8,productive,mold,Vsyn1,ring,Nprod2,0,1,194703,1953561,mold ring
285,forge signature,4665,8,productive,model,Vsyn2,ring,Nprod2,0,1,1024423,1953561,model ring
286,forge signature,4665,8,synonym,forge,Vcoll,initial,Nsyn1,1,1,417688,116395,forge initial
287,enter competition,26587,7.5,productive,exit,Vsyn1,house,Nprod1,0,1,490455,9460127,exit house
288,enter competition,26587,7.5,productive,leave,Vsyn2,house,Nprod1,0,1,18615948,9460127,leave house
289,enter competition,26587,7.5,productive,enter,Vcoll,compound,Nprod2,0,1,6503470,1039189,enter compound
290,enter competition,26587,7.5,productive,win,Vprod1,contest,Nsyn2,0,1,9758957,1252257,win contest
291,smell fear,1346,5.7,productive,smell,Vcoll,flower,Nprod1,0,1,587548,2084293,smell flower
292,smell fear,1346,5.7,productive,allay,Vprod1,dread,Nsyn1,0,1,33803,135397,allay dread
293,smell fear,1346,5.7,synonym,taste,Vsyn1,fear,Ncoll,1,1,921323,2611390,taste fear
294,smell fear,1346,5.7,synonym,hear,Vsyn2,fear,Ncoll,1,1,9564768,2611390,hear fear
295,chase dream,9354,8.1,productive,chase,Vcoll,rabbit,Nprod1,0,2,592392,516705,chase rabbit
296,chase dream,9354,8.1,productive,forget,Vprod1,aspiration,Nsyn1,0,2,3162290,369770,forget aspiration
297,chase dream,9354,8.1,synonym,pursue,Vsyn1,dream,Ncoll,1,2,1806874,2910919,pursue dream
298,chase dream,9354,8.1,synonym,hunt,Vsyn2,dream,Ncoll,-1,2,528912,2910919,hunt dream
299,break promise,30369,8.2,collocation,break,Vcoll,promise,Ncoll,1,2,6644744,1308662,break promise
300,break promise,30369,8.2,productive,fulfill,Vprod1,promise,Ncoll,0,2,1086092,1308662,fulfill promise
301,break promise,30369,8.2,productive,recall,Vprod2,oath,Nsyn2,0,2,1606318,327104,recall oath
302,break promise,30369,8.2,synonym,shatter,Vsyn1,oath,Nsyn2,-1,2,235867,327104,shatter oath
303,break promise,30369,8.2,synonym,smash,Vsyn2,oath,Nsyn2,0,2,298943,327104,smash oath
304,tackle problem,57445,7.9,productive,acknowledge,Vprod2,difficulty,Nsyn1,0,2,1550574,2005111,acknowledge difficulty
305,tackle problem,57445,7.9,synonym,address,Vsyn1,difficulty,Nsyn1,1,2,5143795,2005111,address difficulty
306,tackle problem,57445,7.9,synonym,manage,Vsyn2,difficulty,Nsyn1,1,2,6998498,2005111,manage difficulty
307,tackle problem,57445,7.9,synonym,tackle,Vcoll,issue,Nsyn2,1,2,913224,15495287,tackle issue
308,abandon plan,15406,6.8,productive,approve,Vprod2,plan,Ncoll,0,2,2893043,10141324,approve plan
309,abandon plan,15406,6.8,productive,desert,Vsyn1,car,Nprod2,0,2,192659,9610218,desert car
310,abandon plan,15406,6.8,productive,forsake,Vsyn2,car,Nprod2,0,2,96152,9610218,forsake car
311,abandon plan,15406,6.8,synonym,abandon,Vcoll,proposal,Nsyn1,1,2,1273968,2681541,abandon proposal
312,fight poverty,15406,6.8,productive,battle,Vsyn1,enemy,Nprod1,0,2,470222,2671984,battle enemy
313,fight poverty,15406,6.8,productive,combat,Vsyn2,enemy,Nprod1,0,2,515563,2671984,combat enemy
314,fight poverty,15406,6.8,productive,fight,Vcoll,army,Nprod2,0,2,4220818,2448284,fight army
315,fight poverty,15406,6.8,productive,see,Vprod1,obesity,Nsyn2,0,2,51404934,429273,see obesity
316,catch fire,60901,9.4,productive,catch,Vcoll,frisbee,Nprod1,0,2,4004699,9851,catch frisbee
317,catch fire,60901,9.4,productive,start,Vprod1,blaze,Nsyn1,0,2,20478129,105186,start blaze
318,catch fire,60901,9.4,synonym,seize,Vsyn1,fire,Ncoll,-1,2,733804,5057358,seize fire
319,catch fire,60901,9.4,synonym,grab,Vsyn2,fire,Ncoll,-1,2,1296537,5057358,grab fire
320,nurse grudge,830,7.2,collocation,nurse,Vcoll,grudge,Ncoll,1,2,239694,63452,nurse grudge
321,nurse grudge,830,7.2,productive,recall,Vprod1,grudge,Ncoll,0,2,1606318,63452,recall grudge
322,nurse grudge,830,7.2,productive,mock,Vprod2,resentment,Nsyn2,0,2,220824,152609,mock resentment
323,nurse grudge,830,7.2,synonym,treat,Vsyn1,resentment,Nsyn2,-1,2,4190491,152609,treat resentment
324,nurse grudge,830,7.2,synonym,cure,Vsyn2,resentment,Nsyn2,-1,2,564400,152609,cure resentment
325,challenge assumption,14854,8.5,productive,confirm,Vprod2,belief,Nsyn1,0,2,3109863,2271174,confirm belief
326,challenge assumption,14854,8.5,synonym,dare,Vsyn1,belief,Nsyn1,-1,2,552827,2271174,dare belief
327,challenge assumption,14854,8.5,synonym,invite,Vsyn2,belief,Nsyn1,-1,2,2672271,2271174,invite belief
328,challenge assumption,14854,8.5,synonym,challenge,Vcoll,premise,Nsyn2,1,2,2116545,929717,challenge premise
329,hold meeting,300278,9.9,productive,attend,Vprod2,meeting,Ncoll,0,2,4728626,7117951,attend meeting
330,hold meeting,300278,9.9,productive,catch,Vsyn1,bag,Nprod2,0,2,4004699,2449702,catch bag
331,hold meeting,300278,9.9,productive,clutch,Vsyn2,bag,Nprod2,0,2,124675,2449702,clutch bag
332,hold meeting,300278,9.9,synonym,hold,Vcoll,event,Nsyn1,1,2,15504718,15124427,hold event
333,kick habit,7857,8.3,productive,hit,Vsyn1,can,Nprod1,0,2,4802307,761036,hit can
334,kick habit,7857,8.3,productive,knock,Vsyn2,can,Nprod1,0,2,921387,761036,knock can
335,kick habit,7857,8.3,productive,kick,Vcoll,bottle,Nprod2,0,2,1415069,1593722,kick bottle
336,kick habit,7857,8.3,productive,change,Vprod1,custom,Nsyn2,0,2,12164816,1655971,change custom
337,shift blame,7543,8.3,productive,shift,Vcoll,box,Nprod1,0,2,1463676,4466888,shift box
338,shift blame,7543,8.3,productive,acknowledge,Vprod1,guilt,Nsyn1,0,2,1550574,431173,acknowledge guilt
339,shift blame,7543,8.3,synonym,move,Vsyn1,blame,Ncoll,-1,2,13838515,257572,move blame
340,shift blame,7543,8.3,synonym,transfer,Vsyn2,blame,Ncoll,1,2,2182010,257572,transfer blame
341,bend rule,8917,6.9,collocation,bend,Vcoll,rule,Ncoll,1,2,688134,6829951,bend rule
342,bend rule,8917,6.9,productive,obey,Vprod1,rule,Ncoll,0,2,410998,6829951,obey rule
343,bend rule,8917,6.9,productive,amend,Vprod2,guideline,Nsyn2,0,2,832809,1748725,amend guideline
344,bend rule,8917,6.9,synonym,deform,Vsyn1,guideline,Nsyn2,-1,2,74047,1748725,deform guideline
345,bend rule,8917,6.9,synonym,warp,Vsyn2,guideline,Nsyn2,-1,2,136707,1748725,warp guideline
346,freeze asset,7158,7.9,productive,acquire,Vprod2,account,Nsyn1,0,2,2421658,6466773,acquire account
347,freeze asset,7158,7.9,synonym,chill,Vsyn1,account,Nsyn1,-1,2,209991,6466773,chill account
348,freeze asset,7158,7.9,synonym,preserve,Vsyn2,account,Nsyn1,0,2,1699725,6466773,preserve account
349,freeze asset,7158,7.9,synonym,freeze,Vcoll,wage,Nsyn2,1,2,657944,1361489,freeze wage
350,cut cost,73694,8.7,productive,estimate,Vprod2,cost,Ncoll,0,2,1930333,9883262,estimate cost
351,cut cost,73694,8.7,productive,slash,Vsyn1,tree,Nprod2,0,2,215685,5546438,slash tree
352,cut cost,73694,8.7,productive,injure,Vsyn2,tree,Nprod2,0,2,869674,5546438,injure tree
353,cut cost,73694,8.7,synonym,cut,Vcoll,tax,Nsyn1,1,2,4985046,6125564,cut tax
354,read mind,23147,6.8,productive,study,Vsyn1,book,Nprod1,0,2,4076236,16938594,study book
355,read mind,23147,6.8,productive,scan,Vsyn2,book,Nprod1,0,2,1036158,16938594,scan book
356,read mind,23147,6.8,productive,read,Vcoll,blog,Nprod2,0,2,15107127,2294443,read blog
357,read mind,23147,6.8,productive,influence,Vprod1,intellect,Nsyn2,0,2,1915269,196673,influence intellect
358,raise awareness,283116,10.8,productive,raise,Vcoll,hand,Nprod1,0,2,6484369,12224018,raise hand
359,raise awareness,283116,10.8,productive,increase,Vprod1,concern,Nsyn1,0,2,11371682,4431536,increase concern
360,raise awareness,283116,10.8,synonym,lift,Vsyn1,awareness,Ncoll,-1,2,1452619,1879643,lift awareness
361,raise awareness,283116,10.8,synonym,hoist,Vsyn2,awareness,Ncoll,-1,2,84521,1879643,hoist awareness
362,pay respect,20686,8.2,collocation,pay,Vcoll,respect,Ncoll,1,2,11161866,2924569,pay respect
363,pay respect,20686,8.2,productive,deserve,Vprod1,respect,Ncoll,0,2,1384488,2924569,deserve respect
364,pay respect,20686,8.2,productive,accord,Vprod2,regard,Nsyn2,-1,2,10135350,1809574,accord regard
365,pay respect,20686,8.2,synonym,reward,Vsyn1,regard,Nsyn2,-1,2,576227,1809574,reward regard
366,pay respect,20686,8.2,synonym,fund,Vsyn2,regard,Nsyn2,-1,2,1800293,1809574,fund regard
367,earn trust,14815,7.6,productive,appreciate,Vprod2,confidence,Nsyn1,0,2,2180500,1772680,appreciate confidence
368,earn trust,14815,7.6,synonym,spend,Vsyn1,confidence,Nsyn1,-1,2,7693627,1772680,spend confidence
369,earn trust,14815,7.6,synonym,obtain,Vsyn2,confidence,Nsyn1,0,2,4232413,1772680,obtain confidence
370,earn trust,14815,7.6,synonym,earn,Vcoll,faith,Nsyn2,1,2,3133954,2688652,earn faith
371,spark outrage,7612,9.3,productive,condemn,Vprod2,outrage,Ncoll,0,2,699894,221977,condemn outrage
372,spark outrage,7612,9.3,productive,ignite,Vsyn1,blaze,Nprod2,0,2,212053,105186,ignite blaze
373,spark outrage,7612,9.3,productive,trigger,Vsyn2,blaze,Nprod2,0,2,1017872,105186,trigger blaze
374,spark outrage,7612,9.3,synonym,spark,Vcoll,controversy,Nsyn1,1,2,431972,683407,spark controversy
375,sow confusion,2482,7.7,productive,plant,Vsyn1,seed,Nprod1,0,2,1036293,1984046,plant seed
376,sow confusion,2482,7.7,productive,scatter,Vsyn2,seed,Nprod1,0,2,425278,1984046,scatter seed
377,sow confusion,2482,7.7,productive,sow,Vcoll,crop,Nprod2,0,2,238529,1649113,sow crop
378,sow confusion,2482,7.7,productive,cause,Vprod1,terror,Nsyn2,0,2,8769232,785868,cause terror
379,capture imagination,23753,8.6,productive,capture,Vcoll,bird,Nprod1,0,2,2725823,2593225,capture bird
380,capture imagination,23753,8.6,productive,use,Vprod1,attention,Nsyn1,-1,2,70467900,4637331,use attention
381,capture imagination,23753,8.6,synonym,seize,Vsyn1,imagination,Ncoll,1,2,733804,784660,seize imagination
382,capture imagination,23753,8.6,synonym,apprehend,Vsyn2,imagination,Ncoll,-1,2,126529,784660,apprehend imagination
383,stir passion,1356,6.2,collocation,stir,Vcoll,passion,Ncoll,1,2,604399,1362852,stir passion
384,stir passion,1356,6.2,productive,show,Vprod1,passion,Ncoll,0,2,21565084,1362852,show passion
385,stir passion,1356,6.2,productive,arouse,Vprod2,unrest,Nsyn2,0,2,182171,182837,arouse unrest
386,stir passion,1356,6.2,synonym,blend,Vsyn1,unrest,Nsyn2,-1,2,581189,182837,blend unrest
387,stir passion,1356,6.2,synonym,agitate,Vsyn2,unrest,Nsyn2,-1,2,118322,182837,agitate unrest
388,stifle creativity,2687,8.4,productive,admire,Vprod2,innovation,Nsyn1,0,2,561098,2025331,admire innovation
389,stifle creativity,2687,8.4,synonym,smother,Vsyn1,innovation,Nsyn1,1,2,70905,2025331,smother innovation
390,stifle creativity,2687,8.4,synonym,suffocate,Vsyn2,innovation,Nsyn1,-1,2,66747,2025331,suffocate innovation
391,stifle creativity,2687,8.4,synonym,stifle,Vcoll,debate,Nsyn2,1,2,124886,2159069,stifle debate
392,damage credibility,3219,7,productive,risk,Vprod2,credibility,Ncoll,0,2,529017,377285,risk credibility
393,damage credibility,3219,7,productive,destroy,Vsyn1,computer,Nprod2,0,2,2909710,6063855,destroy computer
394,damage credibility,3219,7,productive,ruin,Vsyn2,computer,Nprod2,0,2,575037,6063855,ruin computer
395,damage credibility,3219,7,synonym,damage,Vcoll,reputation,Nsyn1,1,2,1146068,1250011,damage reputation
396,cement legacy,1688,7.5,productive,stick,Vsyn1,pebble,Nprod1,0,2,2225600,115284,stick pebble
397,cement legacy,1688,7.5,productive,fasten,Vsyn2,pebble,Nprod1,-1,2,155870,115284,fasten pebble
398,cement legacy,1688,7.5,productive,cement,Vcoll,sediment,Nprod2,0,2,151658,341123,cement sediment
399,cement legacy,1688,7.5,productive,honor,Vprod1,position,Nsyn2,0,2,1164276,9565373,honor position
400,launch campaign,104188,9.9,productive,launch,Vcoll,satellite,Nprod1,0,2,3882857,970407,launch satellite
401,launch campaign,104188,9.9,productive,initiate,Vprod1,project,Nsyn1,0,2,1104267,16020768,initiate project
402,launch campaign,104188,9.9,synonym,throw,Vsyn1,campaign,Ncoll,1,2,3612212,4769567,throw campaign
403,launch campaign,104188,9.9,synonym,pitch,Vsyn2,campaign,Ncoll,1,2,531141,4769567,pitch campaign
404,float idea,9736,6,collocation,float,Vcoll,idea,Ncoll,1,2,621472,11104981,float idea
405,float idea,9736,6,productive,convey,Vprod1,idea,Ncoll,0,2,756434,11104981,convey idea
406,float idea,9736,6,productive,test,Vprod2,theory,Nsyn2,0,2,3595859,4260651,test theory
407,float idea,9736,6,synonym,glide,Vsyn1,theory,Nsyn2,-1,2,147185,4260651,glide theory
408,float idea,9736,6,synonym,sail,Vsyn2,theory,Nsyn2,-1,2,564994,4260651,sail theory
409,embrace diversity,8577,8,productive,tolerate,Vprod2,culture,Nsyn1,0,2,416877,4986071,tolerate culture
410,embrace diversity,8577,8,synonym,hug,Vsyn1,culture,Nsyn1,-1,2,213227,4986071,hug culture
411,embrace diversity,8577,8,synonym,hold,Vsyn2,culture,Nsyn1,-1,2,15504718,4986071,hold culture
412,embrace diversity,8577,8,synonym,embrace,Vcoll,lifestyle,Nsyn2,1,2,1112842,1035417,embrace lifestyle
413,navigate complexity,3560,7.6,productive,simplify,Vprod2,complexity,Ncoll,0,2,665340,928075,simplify complexity
414,navigate complexity,3560,7.6,productive,traverse,Vsyn1,sea,Nprod2,0,2,193543,3113075,traverse sea
415,navigate complexity,3560,7.6,productive,negotiate,Vsyn2,sea,Nprod2,-1,2,937868,3113075,negotiate sea
416,navigate complexity,3560,7.6,synonym,navigate,Vcoll,uncertainty,Nsyn1,1,2,730340,814133,navigate uncertainty
417,land job,32530,7.8,productive,reach,Vsyn1,aircraft,Nprod1,0,2,7756405,1876659,reach aircraft
418,land job,32530,7.8,productive,disembark,Vsyn2,aircraft,Nprod1,0,2,50946,1876659,disembark aircraft
419,land job,32530,7.8,productive,land,Vcoll,cargo,Nprod2,0,2,1160851,583841,land cargo
420,land job,32530,7.8,productive,offer,Vprod1,role,Nsyn2,0,2,15899826,9035737,offer role
421,dash hope,9514,8.5,productive,dash,Vcoll,cup,Nprod1,0,2,166374,1538197,dash cup
422,dash hope,9514,8.5,productive,instill,Vprod1,dream,Nsyn1,1,2,141655,2910919,instill dream
423,dash hope,9514,8.5,synonym,fling,Vsyn1,hope,Ncoll,-1,2,129391,2534787,fling hope
424,dash hope,9514,8.5,synonym,smash,Vsyn2,hope,Ncoll,1,2,298943,2534787,smash hope
425,strike deal,38657,8.8,collocation,strike,Vcoll,deal,Ncoll,1,2,1984205,4808190,strike deal
426,strike deal,38657,8.8,productive,finalize,Vprod1,deal,Ncoll,0,2,237104,4808190,finalize deal
427,strike deal,38657,8.8,productive,evaluate,Vprod2,agreement,Nsyn2,0,2,2083508,4136634,evaluate agreement
428,strike deal,38657,8.8,synonym,hit,Vsyn1,agreement,Nsyn2,-1,2,4802307,4136634,hit agreement
429,strike deal,38657,8.8,synonym,punch,Vsyn2,agreement,Nsyn2,-1,2,288125,4136634,punch agreement
430,drain treasury,561,6.2,productive,repay,Vprod2,coffer,Nsyn1,0,2,233505,55026,repay coffer
431,drain treasury,561,6.2,synonym,empty,Vsyn1,coffer,Nsyn1,0,2,287008,55026,empty coffer
432,drain treasury,561,6.2,synonym,clear,Vsyn2,coffer,Nsyn1,1,2,1593855,55026,clear coffer
433,drain treasury,561,6.2,synonym,drain,Vcoll,wallet,Nsyn2,1,2,487772,269976,drain wallet
434,taste victory,1891,6.1,productive,achieve,Vprod2,victory,Ncoll,0,2,5143495,2055937,achieve victory
435,taste victory,1891,6.1,productive,sample,Vsyn1,wine,Nprod2,0,2,439884,2537315,sample wine
436,taste victory,1891,6.1,productive,savor,Vsyn2,wine,Nprod2,0,2,73954,2537315,savor wine
437,taste victory,1891,6.1,synonym,taste,Vcoll,success,Nsyn1,1,2,921323,5026629,taste success
438,lift ban,24335,9.5,productive,elevate,Vsyn1,lid,Nprod1,0,2,424225,406892,elevate lid
439,lift ban,24335,9.5,productive,raise,Vsyn2,lid,Nprod1,0,2,6484369,406892,raise lid
440,lift ban,24335,9.5,productive,lift,Vcoll,trophy,Nprod2,0,2,1452619,565334,lift trophy
441,lift ban,24335,9.5,productive,impose,Vprod1,embargo,Nsyn2,0,2,1434910,92695,impose embargo
442,harbor animosity,332,6.8,productive,harbor,Vcoll,criminal,Nprod1,0,2,111631,541946,harbor criminal
443,harbor animosity,332,6.8,productive,lessen,Vprod1,bitterness,Nsyn1,0,2,218912,112841,lessen bitterness
444,harbor animosity,332,6.8,synonym,shelter,Vsyn1,animosity,Ncoll,-1,2,137172,58708,shelter animosity
445,harbor animosity,332,6.8,synonym,shield,Vsyn2,animosity,Ncoll,-1,2,266420,58708,shield animosity
446,erase memory,8608,7.8,collocation,erase,Vcoll,memory,Ncoll,1,2,314363,4688290,erase memory
447,erase memory,8608,7.8,productive,evoke,Vprod1,memory,Ncoll,0,2,296555,4688290,evoke memory
448,erase memory,8608,7.8,productive,recall,Vprod2,past,Nsyn2,0,2,1606318,2364826,recall past
449,erase memory,8608,7.8,synonym,delete,Vsyn1,past,Nsyn2,-1,2,1254065,2364826,delete past
450,erase memory,8608,7.8,synonym,eliminate,Vsyn2,past,Nsyn2,1,2,1911946,2364826,eliminate past
451,leak document,15015,7.9,productive,sign,Vprod2,memo,Nsyn1,0,2,4520084,301683,sign memo
452,leak document,15015,7.9,synonym,drip,Vsyn1,memo,Nsyn1,-1,2,156536,301683,drip memo
453,leak document,15015,7.9,synonym,stream,Vsyn2,memo,Nsyn1,-1,2,807073,301683,stream memo
454,leak document,15015,7.9,synonym,leak,Vcoll,information,Nsyn2,1,2,461737,22592444,leak information
455,wipe debt,585,5.6,productive,clean,Vsyn1,window,Nprod1,0,2,2253213,6819799,clean window
456,wipe debt,585,5.6,productive,swab,Vsyn2,window,Nprod1,-1,2,13077,6819799,swab window
457,wipe debt,585,5.6,productive,wipe,Vcoll,floor,Nprod2,0,2,639039,4118413,wipe floor
458,wipe debt,585,5.6,productive,pay,Vprod1,credit,Nsyn2,1,2,11161866,4836220,pay credit
459,silence critic,5913,9.5,productive,gag,Vsyn1,alarm,Nprod1,-1,2,57205,822176,gag alarm
460,silence critic,5913,9.5,productive,muzzle,Vsyn2,alarm,Nprod1,-1,2,18886,822176,muzzle alarm
461,silence critic,5913,9.5,productive,silence,Vcoll,ringer,Nprod2,0,2,244414,35075,silence ringer
462,silence critic,5913,9.5,productive,impress,Vprod1,opposition,Nsyn2,0,2,1025333,1558305,impress opposition
463,defy gravity,7592,9.8,productive,defy,Vcoll,government,Nprod1,0,2,253476,16458870,defy government
464,defy gravity,7592,9.8,productive,explain,Vprod1,physics,Nsyn1,0,2,6599746,553990,explain physics
465,defy gravity,7592,9.8,synonym,disobey,Vsyn1,gravity,Ncoll,-1,2,69527,606495,disobey gravity
466,defy gravity,7592,9.8,synonym,flout,Vsyn2,gravity,Ncoll,-1,2,32034,606495,flout gravity
467,crack joke,10830,9.3,collocation,crack,Vcoll,joke,Ncoll,1,2,598520,816654,crack joke
468,crack joke,10830,9.3,productive,tell,Vprod1,joke,Ncoll,0,2,18194900,816654,tell joke
469,crack joke,10830,9.3,productive,hear,Vprod2,anecdote,Nsyn2,0,2,9564768,162764,hear anecdote
470,crack joke,10830,9.3,synonym,split,Vsyn1,anecdote,Nsyn2,-1,2,923858,162764,split anecdote
471,crack joke,10830,9.3,synonym,rupture,Vsyn2,anecdote,Nsyn2,-1,2,46283,162764,rupture anecdote
472,spill secret,1871,6.5,productive,disclose,Vprod2,news,Nsyn1,0,2,873494,6144862,disclose news
473,spill secret,1871,6.5,synonym,drop,Vsyn1,news,Nsyn1,1,2,3578350,6144862,drop news
474,spill secret,1871,6.5,synonym,spew,Vsyn2,news,Nsyn1,-1,2,80693,6144862,spew news
475,spill secret,1871,6.5,synonym,spill,Vcoll,detail,Nsyn2,1,2,293416,7559647,spill detail
476,inflate currency,862,6.4,productive,devalue,Vprod2,currency,Ncoll,0,2,57687,1123275,devalue currency
477,inflate currency,862,6.4,productive,pump,Vsyn1,mattress,Nprod2,0,2,624994,299015,pump mattress
478,inflate currency,862,6.4,productive,fill,Vsyn2,mattress,Nprod2,0,2,4653048,299015,fill mattress
479,inflate currency,862,6.4,synonym,inflate,Vcoll,value,Nsyn1,1,2,143426,11412380,inflate value
480,swallow pride,5319,8.7,productive,consume,Vsyn1,pill,Nprod1,0,2,1059674,424282,consume pill
481,swallow pride,5319,8.7,productive,guzzle,Vsyn2,pill,Nprod1,0,2,13924,424282,guzzle pill
482,swallow pride,5319,8.7,productive,swallow,Vcoll,toothpaste,Nprod2,0,2,422866,77720,swallow toothpaste
483,swallow pride,5319,8.7,productive,feel,Vprod1,ego,Nsyn2,0,2,16231933,406518,feel ego
484,unearth conspiracy,223,5.6,productive,unearth,Vcoll,fossil,Nprod1,0,2,121160,223841,unearth fossil
485,unearth conspiracy,223,5.6,productive,devise,Vprod1,scandal,Nsyn1,0,2,364167,527289,devise scandal
486,unearth conspiracy,223,5.6,synonym,excavate,Vsyn1,conspiracy,Ncoll,-1,2,155304,591599,excavate conspiracy
487,unearth conspiracy,223,5.6,synonym,disinter,Vsyn2,conspiracy,Ncoll,-1,2,4417,591599,disinter conspiracy
488,shape future,38421,9.6,collocation,shape,Vcoll,future,Ncoll,1,2,1379487,5224130,shape future
489,shape future,38421,9.6,productive,predict,Vprod1,future,Ncoll,0,2,1670657,5224130,predict future
490,shape future,38421,9.6,productive,envision,Vprod2,reality,Nsyn2,0,2,328098,3463963,envision reality
491,shape future,38421,9.6,synonym,fashion,Vsyn1,reality,Nsyn2,1,2,231399,3463963,fashion reality
492,shape future,38421,9.6,synonym,sculpt,Vsyn2,reality,Nsyn2,-1,2,186013,3463963,sculpt reality
493,cultivate friendship,2418,7.2,productive,crave,Vprod2,partnership,Nsyn1,0,2,172912,2408790,crave partnership
494,cultivate friendship,2418,7.2,synonym,grow,Vsyn1,partnership,Nsyn1,-1,2,10814751,2408790,grow partnership
495,cultivate friendship,2418,7.2,synonym,tend,Vsyn2,partnership,Nsyn1,1,2,2758961,2408790,tend partnership
496,cultivate friendship,2418,7.2,synonym,cultivate,Vcoll,relationship,Nsyn2,1,2,484590,6684078,cultivate relationship
497,dissolve marriage,4730,7.2,productive,postpone,Vprod2,marriage,Ncoll,0,2,311250,2611665,postpone marriage
498,dissolve marriage,4730,7.2,productive,disintegrate,Vsyn1,sugar,Nprod2,0,2,91498,1363103,disintegrate sugar
499,dissolve marriage,4730,7.2,productive,liquefy,Vsyn2,sugar,Nprod2,0,2,56430,1363103,liquefy sugar
500,dissolve marriage,4730,7.2,synonym,dissolve,Vcoll,assembly,Nsyn1,1,2,533973,1717375,dissolve assembly
501,slap tariff,2256,8.5,productive,smack,Vsyn1,cheek,Nprod1,0,2,100501,431970,smack cheek
502,slap tariff,2256,8.5,productive,smite,Vsyn2,cheek,Nprod1,0,2,79164,431970,smite cheek
503,slap tariff,2256,8.5,productive,slap,Vcoll,shoulder,Nprod2,0,2,211913,1622401,slap shoulder
504,slap tariff,2256,8.5,productive,propose,Vprod1,restriction,Nsyn2,0,2,4256476,1406088,propose restriction
505,soften tone,1415,6.4,productive,soften,Vcoll,skin,Nprod1,0,2,223692,3804919,soften skin
506,soften tone,1415,6.4,productive,generate,Vprod1,gaze,Nsyn1,-1,2,4079902,313344,generate gaze
507,soften tone,1415,6.4,synonym,cushion,Vsyn1,tone,Ncoll,-1,2,61749,1439206,cushion tone
508,soften tone,1415,6.4,synonym,weaken,Vsyn2,tone,Ncoll,1,2,426557,1439206,weaken tone
509,steer conversation,3014,6.5,collocation,steer,Vcoll,conversation,Ncoll,1,2,472643,2603393,steer conversation
